"M_var";"SE";"low";"high";"ages";"season";"years";"Fest";"B";"Brel";"N"
1.24340106057297;0.173683033966684;0.896034992639599;1.59076712850634;0;1;1985;0;2600.51784242662;0.0411815802389763;520103.568485323
0.56415313673948;0.0788030761093389;0.406546984520802;0.721759288958158;1;1;1985;0.0705436664342224;3341.40807763107;0.0529142552360744;53038.2234544615
0.415144274024834;0.113402858529993;0.188338556964848;0.64194999108482;2;1;1985;0.493102930395251;7574.71802926036;0.119952592987606;25165.1761769447
0.327267018939285;0.0893978738776738;0.148471271183938;0.506062766694633;3;1;1985;1.30481806588474;24801.253656771;0.392750551767206;28376.7204310881
0.276762849349889;0.0756019056866772;0.125559037976535;0.427966660723244;4;1;1985;1.82535477903583;14340.0940327338;0.227088514221627;6900.91146907303
0.243430097420888;0.0664965666806211;0.110436964059646;0.37642323078213;5;1;1985;1.82535477903583;6292.72689629883;0.0996510900152409;1797.9219703711
0.220198179409766;0.0601504213127425;0.0998973367842811;0.340499022035251;6;1;1985;1.82535477903583;2462.54587860657;0.0389966679087912;442.744674326964
0.201;0;0.201;0.201;7;1;1985;1.82535477903583;1734.3328211481;0.0274647476244787;204.255425880121
1.2116691176702;0.215309948654953;0.78104922036029;1.6422890149801;0;1;1986;0;1270.60183268514;0.028621735743799;254120.366537027
0.549755790870089;0.0976899463548353;0.354375898160418;0.74513568357976;1;1;1986;0.0531798714681423;9449.92068873748;0.212870094938647;149998.741091071
0.475613334884882;0.157364747468096;0.160883839948691;0.790342829821073;2;1;1986;0.371729338500363;8462.72337252249;0.190632364766338;28115.360041603
0.374936059617279;0.12405396150768;0.12682813660192;0.623043982632639;3;1;1986;0.98364687491488;8868.79586399848;0.199779604479734;10147.3636887854
0.317075556589921;0.104909831645401;0.10725589329912;0.526895219880723;4;1;1986;1.37605737608491;11484.8942489996;0.258710163785669;5548.25809130414
0.278887624591865;0.0922747059362818;0.0943382127193016;0.463437036464429;5;1;1986;1.37605737608491;2930.37485140002;0.066009990281377;843.273338532379
0.252271793199281;0.083468406199609;0.0853349808000624;0.419208605598499;6;1;1986;1.37605737608491;1252.94855870776;0.0282240758870322;227.148034573561
0.201;0;0.201;0.201;7;1;1986;1.37605737608491;672.639883628829;0.0151519701174041;84.1746819708208
1.20992687087301;0.232703942319287;0.744518986234432;1.67533475551158;0;1;1987;0;670.211761214051;0.0132771796344271;134042.35224281
0.548965302566053;0.105581910096347;0.337801482373358;0.760129122758748;1;1;1987;0.0429360027497174;4766.05237785412;0.0944175217892775;75651.6250453035
0.58299308664708;0.19905829676906;0.184876493108961;0.981109680185199;2;1;1987;0.300124303789706;24706.0023630976;0.489436399667513;82079.7420700917
0.459585790933464;0.156921868985838;0.145742052961789;0.773429528905139;3;1;1987;0.794170120388439;10530.7386510386;0.20861840517357;12048.9000583966
0.38866205776472;0.13270553117936;0.123250995406;0.65407312012344;4;1;1987;1.11099184056404;5187.55766684589;0.102767720581175;2608.12351274303
0.341852393873348;0.116722748227108;0.108406897419133;0.575297890327564;5;1;1987;1.11099184056404;3376.01110309154;0.0668802137735853;1020.55958376407
0.309227476615726;0.10558323283614;0.0980610109434468;0.520393942288005;6;1;1987;1.11099184056404;781.908042443689;0.0154899304039705;161.151698772401
0.201;0;0.201;0.201;7;1;1987;1.11099184056404;459.991600910668;0.00911262897648268;61.9684225933811
1.20008688523507;0.243172874534707;0.713741136165659;1.68643263430449;0;1;1988;0;896.334507541217;0.015936118817149;179266.901508243
0.544500726381316;0.110331850509656;0.323837025362004;0.765164427400627;1;1;1988;0.037648290837129;2518.36123915799;0.0447744715773746;39973.9879231428
0.74177690991635;0.242299441701328;0.257178026513694;1.22637579331901;2;1;1988;0.263162994986534;12598.6869921563;0.223994693005658;41856.1029639745
0.584758439934057;0.191009778859462;0.202738882215133;0.966777997652981;3;1;1988;0.696365421830948;29662.9545359512;0.527383877308628;33939.3072493721
0.494517939944233;0.161532961134249;0.171452017675736;0.817583862212731;4;1;1988;0.974169490696418;6892.00914944227;0.122534473202059;3439.12632207698
0.43495920995095;0.142078261435553;0.150802687079845;0.719115732822055;5;1;1988;0.974169490696418;1935.07479752831;0.0344040998466899;582.152466163751
0.393448579955631;0.128518925281965;0.1364107293917;0.650486430519562;6;1;1988;0.974169490696418;1291.437510043;0.0229607377957853;238.713033279667
0.201;0;0.201;0.201;7;1;1988;0.974169490696418;450.612190288077;0.00801152844665674;55.6311346034662
1.16580185552164;0.247943480271483;0.669914894978674;1.66168881606461;0;1;1989;0;1313.3669979891;0.0275486474867822;262673.399597819
0.528944999697982;0.112496359030585;0.303952281636813;0.753937717759152;1;1;1989;0.0317743169234045;3401.33610794212;0.0713450311795784;53989.4620308273
0.973046764396233;0.301672468771877;0.369701826852479;1.57639170193999;2;1;1989;0.222103692339944;6722.33059541623;0.141004849479452;22333.3242372632
0.767073361713819;0.237814792900454;0.29144377591291;1.24270294751473;3;1;1989;0.587716868834201;13391.5352228016;0.280895350442521;15322.122680551
0.648697842930822;0.201114979181238;0.246467884568346;1.0509278012933;4;1;1989;0.822177300648478;18964.6977741096;0.397795722347399;9425.79412232087
0.570570000534044;0.176893102126573;0.216783796280899;0.92435620478719;5;1;1989;0.822177300648478;2562.99630904946;0.053760359393859;791.78137443604
0.516117261893866;0.16001118781575;0.196094886262366;0.836139637525366;6;1;1989;0.822177300648478;720.79344242876;0.0151190676228786;142.252504919826
0.201;0;0.201;0.201;7;1;1989;0.822177300648478;597.407373550543;0.0125309720475289;77.9803385394261
